roll,pitch,yaw,longi,lati,chargeRC,chargeTele,temp,velocity,result
4.2,-2.94,219.84,0.0,0.0,0.44,8.24,21,0,1
-128.22,53.15,103.96,0.0,0.0,2.23,8.19,21,0,1
-2.28,5.03,313.4,0.0,0.0,1.34,8.97,21,0,0
-119.0,-35.23,23.83,0.0,0.0,0.47,8.19,21,0,1
5.16,-4.84,228.29,0.0,0.0,1.1,8.78,21,0,0
-123.17,42.75,314.88,0.0,0.0,0.04,7.39,22,0,1
4.06,-3.39,221.42,0.0,0.0,0.72,8.45,21,0,0
6.52,-4.24,226.28,0.0,0.0,1.05,8.69,21,0,0
83.23,47.13,195.49,0.0,0.0,0.16,7.79,22,0,1
155.52,-13.88,215.57,0.0,0.0,0.07,7.6,22,0,1
8.85,-34.3,141.89,0.0,0.0,0.04,7.49,22,0,1
121.35,-16.65,191.68,0.0,0.0,0.04,7.51,22,0,1
-1.25,2.89,342.97,0.0,0.0,0.07,7.56,22,0,1
-154.06,-44.26,199.92,0.0,0.0,0.35,7.82,22,0,1
48.71,-22.29,16.48,0.0,0.0,0.07,7.63,22,0,1
5.88,-8.62,239.01,0.0,0.0,1.6,9.16,21,0,0
37.72,11.66,98.44,0.0,0.0,0.04,7.37,22,0,1
-167.57,61.86,197.3,0.0,0.0,0.07,6.83,22,0,1
6.79,8.61,230.89,0.0,0.0,0.51,7.89,22,0,1
-3.73,-1.07,287.88,0.0,0.0,1.34,8.92,21,0,0
-31.74,-15.77,319.9,0.0,0.0,0.7,8.38,22,0,1
-126.62,7.94,55.72,0.0,0.0,0.25,7.89,22,0,1
-16.29,-51.31,12.37,0.0,0.0,0.04,7.39,22,0,1
3.93,-3.34,221.13,0.0,0.0,0.75,8.45,21,0,0
4.08,-2.35,216.77,0.0,0.0,0.54,8.31,21,0,1
4.83,10.08,115.48,0.0,0.0,0.04,7.44,22,0,1
-86.71,55.23,107.38,0.0,0.0,0.49,8.22,21,0,1
9.6,-34.86,124.18,0.0,0.0,0.04,7.49,22,0,1
3.98,-3.58,220.91,0.0,0.0,0.82,8.55,21,0,0
-4.65,-7.38,246.53,0.0,0.0,1.22,8.83,21,0,0
10.99,-70.51,134.12,0.0,0.0,0.49,8.0,21,0,1
-31.92,-3.72,293.29,0.0,0.0,0.42,8.03,22,0,1
48.71,13.96,148.41,0.0,0.0,0.07,7.58,22,0,1
9.3,-34.7,132.07,0.0,0.0,0.04,7.56,22,0,1
57.51,84.81,98.7,0.0,0.0,0.35,7.96,22,0,1
-42.85,15.61,329.24,0.0,0.0,0.02,7.49,22,0,1
-162.56,-43.7,14.44,0.0,0.0,0.04,7.39,22,0,1
3.28,-2.47,218.59,0.0,0.0,0.47,8.22,21,0,1
64.4,-8.75,10.87,0.0,0.0,0.07,7.6,22,0,1
9.6,-34.98,130.03,0.0,0.0,0.02,7.42,22,0,1
-168.48,-10.5,143.7,0.0,0.0,0.28,7.77,22,0,1
124.06,-62.27,260.85,0.0,0.0,0.02,7.23,22,0,1
3.78,-6.5,229.14,0.0,0.0,1.1,8.81,21,0,0
-49.89,-65.8,240.36,0.0,0.0,0.54,8.24,21,0,1
2.32,-5.27,227.35,0.0,0.0,1.34,8.92,21,0,0
10.11,-37.59,156.65,0.0,0.0,0.04,7.46,22,0,1
83.33,-33.9,32.11,0.0,0.0,0.11,7.79,22,0,1
-57.25,-1.53,180.36,0.0,0.0,0.91,8.52,21,0,0
4.38,-2.45,219.72,0.0,0.0,0.44,8.24,21,0,1
-91.9,-52.12,346.26,0.0,0.0,0.44,8.17,21,0,1
2.48,8.16,175.6,0.0,0.0,0.51,7.93,22,0,1
-67.17,20.25,328.19,0.0,0.0,0.11,7.34,22,0,1
-22.93,-24.99,164.64,0.0,0.0,0.07,7.51,22,0,1
0.3,3.48,343.02,0.0,0.0,0.07,7.56,22,0,1
4.42,-3.58,219.91,0.0,0.0,0.44,8.22,21,0,1
163.54,20.05,338.46,0.0,0.0,0.07,7.63,22,0,1
-56.68,-6.59,313.73,0.0,0.0,0.07,7.18,22,0,1
-25.66,11.67,337.74,0.0,0.0,0.04,7.58,22,0,1
146.15,-10.57,197.66,0.0,0.0,0.42,8.17,21,0,1
-11.77,6.34,149.19,0.0,0.0,0.04,7.46,22,0,1
-161.66,60.12,250.85,0.0,0.0,0.35,7.98,22,0,1
